source_soil,pH,N_total_mgkg,K_mgkg,habitability_score
Earth,7.785,6.585,3.241,0.6389
Earth,9.4,7.051,12.023,0.2588
Earth,9.391,4.198,14.778,0.1617
Earth,9.059,4.326,1.279,0.1527
Earth,7.383,3.702,10.786,0.6404
Earth,7.655,7.767,4.541,0.7246
Earth,9.053,5.88,1.567,0.2074
Earth,7.451,1.583,6.64,0.562
Earth,7.008,7.041,14.093,0.7605
Earth,8.17,4.364,1.165,0.4304
Earth,9.308,1.481,9.23,0.0611
Earth,8.588,4.848,8.02,0.315
Earth,8.21,3.92,13.227,0.4137
Earth,6.792,7.144,2.176,0.7522
Earth,8.345,2.428,10.541,0.3138
Earth,9.47,6.785,10.522,0.248
Earth,6.92,4.904,10.367,0.682
Earth,8.055,1.382,14.193,0.3776
Earth,9.132,7.803,12.523,0.2856
Earth,8.722,4.588,1.588,0.2547
Earth,8.591,3.036,7.595,0.2502
Earth,8.607,4.286,6.571,0.2874
Earth,7.578,7.005,5.342,0.7244
Earth,7.381,3.134,7.319,0.617
Earth,8.928,2.349,6.379,0.1126
Earth,8.93,1.903,7.053,0.0969
Earth,9.101,3.085,14.71,0.1227
Earth,9.24,6.46,2.241,0.2284
Earth,8.034,4.301,13.911,0.4865
Earth,8.005,2.592,7.723,0.4303
Earth,8.895,2.163,9.732,0.1205
Earth,8.45,3.329,12.623,0.3125
Earth,8.606,7.579,6.046,0.4027
Earth,8.887,3.401,7.026,0.1636
Earth,9.17,7.917,6.733,0.2838
Earth,7.514,4.397,6.246,0.6555
Earth,7.627,2.254,13.957,0.5506
Earth,6.782,7.238,12.605,0.7659
Earth,8.235,4.222,2.526,0.4054
Earth,6.608,5.968,2.514,0.7114
Earth,7.897,7.886,6.99,0.6507
Earth,8.128,1.351,2.381,0.3404
Earth,7.36,1.677,9.667,0.5684
Earth,8.272,6.043,3.012,0.457
Earth,6.592,2.973,8.313,0.6124
Earth,6.612,2.29,1.101,0.5813
Earth,8.968,1.276,5.432,0.0608
Earth,7.581,1.153,10.481,0.524
Earth,6.881,6.421,7.777,0.7325
Earth,8.067,1.941,14.696,0.3937
Earth,8.81,4.274,13.237,0.2262
Earth,7.147,5.241,6.027,0.6895
Earth,8.369,3.998,1.637,0.352
Earth,6.756,1.19,12.839,0.5545
Earth,6.655,6.485,13.757,0.7407
Earth,8.094,1.074,12.489,0.352
Earth,8.122,6.333,2.791,0.5172
Earth,8.412,7.253,14.971,0.4647
Earth,8.678,4.03,4.62,0.2529
Earth,9.428,4.749,11.139,0.1773
Earth,8.049,4.339,13.712,0.4826
Earth,7.469,3.724,4.3,0.6347
Earth,8.886,7.212,13.716,0.3043
Earth,7.312,7.258,5.333,0.7593
Earth,7.817,3.351,14.67,0.5263
Earth,6.735,5.305,4.938,0.6906
Earth,6.576,7.488,14.348,0.7764
Earth,9.388,7.734,1.75,0.2725
Earth,9.008,4.563,10.93,0.1706
Earth,8.588,4.17,8.45,0.2918
Earth,7.727,2.951,7.69,0.5354
Earth,7.02,7.712,4.129,0.7741
Earth,6.969,2.0,10.878,0.5809
Earth,7.251,5.059,3.671,0.6807
Earth,8.148,2.978,8.74,0.3971
Earth,8.644,2.953,4.545,0.2266
Earth,8.481,3.835,14.379,0.3217
Earth,7.34,7.992,1.401,0.7811
Earth,9.365,1.385,3.796,0.0523
Earth,8.714,5.05,4.392,0.2766
Earth,8.163,1.578,6.797,0.341
Earth,8.335,2.082,4.258,0.2987
Earth,7.759,4.077,7.879,0.5643
Earth,7.243,4.573,13.215,0.6733
Earth,7.568,2.812,10.969,0.5867
Earth,8.774,3.215,9.119,0.1971
Earth,6.543,1.609,2.246,0.5586
Earth,6.848,3.123,10.716,0.62
Earth,6.638,7.766,3.33,0.7751
Earth,6.622,7.613,12.009,0.7785
Earth,9.066,3.344,4.501,0.1215
Earth,8.611,4.996,6.839,0.3114
Earth,7.923,7.367,5.907,0.6229
Earth,6.794,1.043,13.023,0.5495
Earth,7.975,6.675,2.772,0.5781
Earth,7.92,7.639,8.919,0.6361
Earth,7.02,1.639,2.989,0.5604
Earth,7.802,2.13,10.867,0.4849
Earth,7.696,7.725,13.671,0.7189
Earth,8.348,4.763,7.085,0.3913
Earth,8.405,1.099,7.833,0.2446
Earth,6.636,2.803,13.984,0.6121
Earth,7.624,4.15,8.294,0.6123
Earth,8.378,5.85,7.826,0.4201
Earth,8.009,6.132,9.097,0.5539
Earth,9.069,7.968,10.649,0.2895
Earth,8.476,3.013,2.496,0.2826
Earth,6.989,4.768,12.496,0.6794
Earth,6.712,4.733,7.097,0.6728
Earth,8.427,3.84,2.013,0.3273
Earth,6.58,2.184,12.007,0.5885
Earth,8.257,7.842,6.277,0.5283
Earth,9.321,6.973,2.405,0.2465
Earth,8.226,4.488,9.873,0.4248
Earth,7.665,5.223,13.322,0.6413
Earth,8.43,2.591,13.429,0.2942
Earth,7.875,4.807,14.407,0.5577
Earth,8.137,5.865,13.148,0.5061
Earth,9.324,4.606,1.03,0.1622
Earth,7.658,7.932,6.323,0.7312
Earth,9.384,5.279,12.46,0.1972
Earth,9.216,3.597,6.128,0.132
Earth,7.087,6.405,9.422,0.7336
Earth,6.708,2.193,9.488,0.5863
Earth,6.802,3.692,6.11,0.6353
Earth,6.555,3.429,13.663,0.6337
Earth,6.783,4.023,8.045,0.6488
Earth,8.549,6.472,7.507,0.3844
Earth,6.714,4.389,14.965,0.6686
Earth,7.457,6.558,7.909,0.7374
Earth,9.035,5.035,3.498,0.1797
Earth,6.57,3.394,8.183,0.627
Earth,8.943,6.67,12.396,0.2647
Earth,7.346,2.668,11.876,0.6053
Earth,6.854,2.571,12.04,0.602
Earth,8.59,4.532,10.912,0.3061
Earth,8.387,2.826,4.559,0.3079
Earth,9.132,1.064,13.069,0.0503
Earth,8.705,5.538,13.508,0.3056
Earth,8.91,4.578,3.718,0.1938
Earth,7.346,4.119,2.826,0.647
Earth,7.032,7.769,14.658,0.7866
Earth,8.752,4.998,13.157,0.2708
Earth,8.921,7.044,13.505,0.2865
Earth,9.472,1.976,13.409,0.0826
Earth,7.738,4.984,8.584,0.6038
Earth,7.616,7.076,10.05,0.719
Earth,8.829,5.082,8.635,0.2434
Earth,7.522,6.026,1.717,0.7052
Earth,9.292,3.604,11.437,0.1376
Earth,9.075,1.647,8.075,0.0657
Earth,7.787,4.205,10.068,0.5616
Earth,8.753,3.761,8.037,0.2221
Earth,8.764,7.069,7.885,0.3341
Earth,6.809,2.708,3.405,0.5982
Earth,9.208,7.767,4.902,0.2768
Earth,8.016,7.707,3.224,0.601
Earth,8.979,2.733,3.739,0.1063
Earth,7.46,3.436,14.622,0.6349
Earth,9.187,7.269,3.144,0.2576
Earth,7.668,7.766,4.77,0.7207
Earth,6.533,4.104,9.268,0.6529
Earth,9.216,3.247,9.543,0.1232
Earth,6.774,4.683,3.156,0.667
Earth,7.458,5.814,12.112,0.7156
Earth,9.35,2.914,11.993,0.114
Earth,9.352,6.155,4.322,0.2198
Earth,8.22,1.362,5.041,0.3126
Earth,8.396,1.345,14.132,0.2627
Earth,7.845,3.704,12.559,0.5271
Earth,7.38,3.474,10.769,0.6324
Earth,7.486,3.209,2.151,0.6145
Earth,8.518,4.437,6.856,0.323
Earth,8.757,3.245,8.83,0.2034
Earth,8.875,2.346,3.624,0.1275
Earth,8.869,3.166,7.275,0.1618
Earth,6.774,7.824,9.414,0.7833
Earth,7.983,3.878,5.583,0.4802
Earth,6.673,4.113,11.933,0.6559
Earth,8.149,5.036,12.766,0.4728
Earth,7.825,7.883,5.531,0.6733
Earth,9.163,2.691,12.741,0.1069
Earth,7.553,5.769,2.45,0.6868
Earth,6.851,6.012,12.728,0.7231
Earth,6.929,5.251,3.139,0.6869
Earth,8.785,1.62,2.161,0.1307
Earth,8.355,5.738,9.985,0.4259
Earth,6.803,1.449,7.607,0.5583
Earth,6.752,5.173,13.71,0.6948
Earth,8.603,6.177,6.085,0.3546
Earth,6.718,2.477,5.02,0.5917
Earth,8.966,6.891,8.01,0.2607
Earth,8.619,1.212,7.383,0.1769
Earth,6.744,6.907,5.822,0.7476
Earth,6.755,4.222,10.712,0.6585
Earth,9.46,2.523,11.634,0.0999
Earth,7.623,1.936,12.942,0.5398
Earth,7.612,7.673,14.62,0.7459
Earth,8.938,1.509,4.733,0.0781
Earth,9.342,2.394,11.025,0.0948
Earth,9.458,3.435,6.52,0.1267
Earth,8.76,5.342,10.479,0.2774
Earth,7.629,4.814,7.664,0.6332
Earth,6.751,1.88,14.913,0.5807
Earth,8.831,3.028,11.205,0.1734
Earth,8.175,2.671,14.335,0.3828
Earth,7.773,2.495,12.69,0.5091
Earth,9.219,3.878,13.641,0.1494
Earth,6.834,5.928,12.402,0.7199
Earth,7.978,2.522,7.428,0.4364
Earth,6.534,3.567,4.525,0.6294
Earth,7.906,3.736,6.184,0.5016
Earth,6.669,7.835,1.283,0.7755
Earth,6.856,7.683,8.336,0.7772
Earth,6.853,6.601,8.071,0.7391
Earth,8.448,2.692,8.354,0.2867
Earth,8.738,1.476,14.636,0.1536
Earth,8.25,3.218,13.76,0.3764
Earth,9.387,2.868,3.264,0.1036
Earth,7.625,4.541,6.164,0.6236
Earth,7.357,6.444,6.935,0.7325
Earth,9.106,7.008,6.047,0.2513
Earth,7.171,6.914,12.179,0.7542
Earth,9.39,3.518,8.337,0.1315
Earth,6.536,5.811,9.009,0.7124
Earth,9.41,3.19,12.942,0.1246
Earth,6.629,1.426,12.283,0.5622
Earth,9.173,5.911,2.851,0.2097
Earth,8.083,1.069,10.995,0.354
Earth,9.479,3.864,7.096,0.1423
Earth,6.721,3.306,5.125,0.6208
Earth,8.162,5.854,1.7,0.4861
Earth,9.408,6.364,7.821,0.2306
Earth,8.069,3.129,5.976,0.4257
Earth,8.388,6.681,4.521,0.4423
Earth,8.587,3.057,10.725,0.2553
Earth,7.864,4.124,11.773,0.5349
Earth,8.383,6.089,4.427,0.4233
Earth,8.253,5.85,1.692,0.4555
Earth,9.203,7.912,12.883,0.2898
Earth,6.636,2.576,1.139,0.5913
Earth,7.343,5.636,14.12,0.7114
Earth,9.351,5.268,9.787,0.1942
Earth,9.171,7.406,5.506,0.2647
Earth,7.867,2.095,4.451,0.4554
Earth,8.36,6.263,1.126,0.4335
Earth,7.332,4.978,4.297,0.6785
Earth,7.064,2.923,2.928,0.6052
Earth,7.891,4.321,9.57,0.5304
Earth,7.56,3.336,3.332,0.6001
Earth,8.251,5.055,8.401,0.435
Earth,6.733,7.223,9.262,0.7621
Earth,9.423,4.985,5.173,0.1797
Earth,9.459,5.422,1.491,0.1913
Earth,8.594,4.631,1.522,0.2988
Earth,8.108,1.358,1.369,0.3461
Earth,7.429,2.63,11.348,0.6034
Earth,8.941,4.444,5.452,0.1805
Earth,8.554,3.172,12.148,0.2718
Earth,6.988,2.272,7.044,0.5866
Earth,9.233,4.529,7.342,0.1659
Earth,8.968,3.26,8.18,0.1331
Earth,9.349,2.807,10.982,0.1092
Earth,8.677,4.248,4.829,0.2611
Earth,8.34,1.933,2.702,0.2903
Earth,7.755,7.494,8.785,0.6862
Earth,9.298,7.074,5.578,0.2532
Earth,9.098,5.953,7.195,0.2156
Earth,6.636,1.743,10.057,0.5711
Earth,6.579,6.431,7.918,0.733
Earth,7.629,6.656,9.684,0.6995
Earth,8.932,6.374,8.619,0.2545
Earth,9.462,1.798,11.357,0.0743
Earth,6.951,5.507,10.883,0.7036
Earth,8.282,6.84,8.479,0.4871
Earth,7.643,5.041,10.505,0.6394
Earth,9.41,5.525,13.23,0.2066
Earth,9.026,4.209,7.052,0.1544
Earth,9.015,4.701,6.779,0.1713
Earth,7.906,1.241,11.699,0.4198
Earth,7.744,5.473,9.156,0.6192
Earth,7.32,1.57,1.994,0.5569
Earth,6.669,4.045,13.49,0.6551
Earth,9.094,3.049,1.431,0.1081
Earth,8.939,4.818,11.478,0.2005
Earth,9.499,1.934,11.623,0.0793
Earth,9.49,5.842,14.344,0.2188
Earth,8.166,6.565,1.758,0.5094
Earth,8.807,2.143,9.356,0.1487
Earth,9.334,1.73,6.99,0.0675
Earth,9.049,2.019,5.629,0.0763
Earth,7.242,7.14,2.264,0.7522
Earth,7.852,4.697,8.877,0.5561
Earth,6.887,4.271,7.707,0.6572
Earth,9.362,1.747,2.464,0.0636
Earth,8.319,5.547,9.575,0.4309
Earth,7.186,7.076,11.331,0.759
Earth,8.515,6.797,11.742,0.4113
Earth,8.354,5.382,13.675,0.4173
Earth,7.574,1.527,6.733,0.5353
Earth,6.841,1.787,14.343,0.5769
Earth,8.515,1.345,13.116,0.222
Earth,8.061,2.802,5.151,0.4163
Earth,8.817,1.95,3.23,0.1325
Earth,8.06,2.82,7.095,0.419
Earth,9.057,3.695,6.627,0.136
Earth,8.156,7.601,9.06,0.5565
Earth,8.183,5.273,9.167,0.4661
Earth,9.13,6.845,11.5,0.2511
Earth,7.71,5.972,8.138,0.647
Earth,6.902,1.788,2.468,0.565
Earth,6.586,6.151,13.016,0.7283
Earth,8.765,2.926,5.337,0.1859
Earth,8.361,5.474,14.598,0.4192
Earth,8.612,3.387,2.65,0.2504
Earth,7.139,7.984,14.416,0.7938
Earth,6.909,2.845,2.274,0.6018
Earth,6.544,2.954,4.235,0.6076
Earth,7.552,7.515,1.652,0.7474
Earth,8.27,1.173,10.872,0.2953
Earth,7.677,5.877,12.904,0.6597
Earth,7.812,6.077,7.077,0.6156
Earth,9.212,6.855,13.999,0.2539
Earth,7.545,7.821,9.264,0.7681
Earth,8.042,7.829,9.82,0.6032
Earth,8.851,1.457,12.836,0.1135
Earth,7.69,6.753,5.155,0.6783
Earth,8.366,5.524,5.96,0.4106
Earth,9.087,5.531,13.683,0.2073
Earth,9.349,1.898,13.613,0.0801
Earth,6.941,5.551,14.671,0.709
Earth,9.28,7.877,13.626,0.2893
Earth,7.976,7.383,2.783,0.6024
Earth,7.275,4.074,12.532,0.6551
Earth,7.877,1.28,6.738,0.4257
Earth,9.44,3.536,14.871,0.1386
Earth,7.978,6.785,7.612,0.5858
Earth,7.486,5.91,8.754,0.7156
Earth,8.4,4.215,8.417,0.3559
Earth,7.22,1.386,5.504,0.554
Earth,6.728,3.988,2.05,0.6416
Earth,6.887,4.283,13.539,0.6635
Earth,6.884,7.5,12.237,0.7747
Earth,6.956,5.488,2.953,0.695
Earth,6.916,3.182,11.875,0.6232
Earth,8.423,4.677,9.762,0.3659
Earth,7.046,1.462,6.728,0.5579
Earth,7.537,7.808,4.556,0.7655
Earth,9.19,3.52,13.036,0.1363
Earth,7.922,4.345,10.803,0.5223
Earth,8.503,3.487,8.668,0.2965
Earth,7.017,5.778,9.534,0.7117
Earth,7.077,5.636,2.275,0.6995
Earth,6.623,6.007,7.635,0.7179
Earth,7.007,2.877,3.712,0.6044
Earth,7.336,3.21,3.917,0.6163
Earth,7.031,1.877,10.258,0.5759
Earth,6.766,5.589,13.758,0.7094
Earth,6.862,1.279,6.653,0.5514
Earth,7.882,5.184,3.908,0.5579
Earth,7.119,7.088,10.082,0.7582
Earth,7.593,7.236,13.197,0.7355
Earth,8.01,4.143,11.476,0.4864
Earth,8.571,4.215,13.163,0.3036
Earth,6.618,1.539,8.512,0.5624
Earth,8.898,5.695,11.526,0.2448
Earth,8.384,6.749,2.961,0.4446
Earth,6.745,2.713,5.876,0.6008
Earth,9.121,3.949,6.454,0.1447
Earth,9.263,6.872,8.158,0.2487
Earth,6.683,7.14,14.007,0.7639
Earth,7.331,2.702,13.24,0.6078
Earth,8.919,4.854,2.883,0.1999
Earth,8.745,2.347,3.419,0.1707
Earth,7.054,1.713,6.007,0.566
Earth,7.128,7.378,5.07,0.7633
Earth,7.611,6.744,9.607,0.7085
Earth,7.954,6.32,13.639,0.5837
Earth,8.355,1.341,14.472,0.2765
Earth,7.607,6.906,10.15,0.7163
Earth,7.888,4.066,12.734,0.5259
Earth,8.742,3.397,8.353,0.2131
Earth,6.61,4.825,3.917,0.6728
Earth,7.257,1.639,8.346,0.5657
Earth,8.64,6.297,8.771,0.3491
Earth,9.186,5.077,11.394,0.1891
Earth,8.035,2.306,4.078,0.4064
Earth,8.096,2.318,6.156,0.3885
Earth,6.822,2.29,6.096,0.5862
Earth,7.842,1.399,14.432,0.4493
Earth,8.098,5.115,7.215,0.4869
Earth,7.227,6.882,11.571,0.7525
Earth,7.308,1.122,11.511,0.5508
Earth,7.632,1.343,4.718,0.5078
Earth,6.56,5.009,9.006,0.6843
Earth,7.466,6.736,13.52,0.7493
Earth,7.134,3.287,7.653,0.6227
Earth,7.482,3.447,14.232,0.6349
Earth,6.859,5.174,4.002,0.6851
Earth,9.172,2.919,2.038,0.1042
Earth,8.281,1.186,13.48,0.2947
Earth,8.537,6.147,12.868,0.3822
Earth,8.868,5.38,14.896,0.2473
Earth,7.995,5.065,10.512,0.5227
Earth,6.761,6.192,14.114,0.7308
Earth,8.111,5.727,12.577,0.5092
Earth,8.261,2.441,12.822,0.3448
Earth,8.736,3.467,8.968,0.2182
Earth,7.795,1.883,6.353,0.4739
Earth,6.883,1.909,14.084,0.5809
Earth,7.351,5.733,7.05,0.7077
Earth,7.589,7.01,8.543,0.7242
Earth,8.438,7.739,7.246,0.4655
Earth,8.212,5.398,8.907,0.4604
Earth,7.568,2.289,7.587,0.5649
Earth,9.46,1.74,1.672,0.0626
Earth,8.317,6.69,13.349,0.4751
Earth,7.212,5.051,7.222,0.684
Earth,6.805,5.328,9.245,0.6957
Earth,6.959,6.47,2.949,0.7294
